Term,Definition,Category,Source,Difficulty
elif,"Short for 'else if', it allows you to check multiple alternative conditions if the previous 'if' conditions were false.",Python,Python Course,beginner
else,"A control flow statement that executes a block of code when all preceding 'if' and 'elif' conditions evaluate to false.",Python,Python Course,beginner
for,"A type of loop used to iterate over a sequence (like a list or string) and execute a block of code for each item.",Python,Python Course,beginner
while,"A type of loop that repeatedly executes a block of code as long as a given condition remains true.",Python,Python Course,beginner
break,"A statement used to immediately exit and terminate a loop, skipping any remaining iterations.",Python,Python Course,beginner
continue,"A statement that skips the rest of the current loop iteration and immediately proceeds to the next iteration.",Python,Python Course,beginner
boolean expression,"A mathematical or logical statement that evaluates to either True or False.",Python,Python Course,beginner
loop,"A programming structure that repeats a sequence of instructions until a specific condition is met.",Python,Python Course,beginner
nested loop,"A loop situated entirely within the body of another loop, often used to iterate through multi-dimensional data structures.",Python,Python Course,beginner
nested if statement,"An 'if' statement placed inside another 'if' statement to test further conditions only when the outer condition is true.",Python,Python Course,beginner
expression,"A combination of values, variables, and operators that is evaluated by the programming language to produce a single value.",Python,Python Course,beginner
statement,"A complete line of code that performs a specific action, such as variable assignment or a function call.",Python,Python Course,beginner
control flow,"The specific order in which individual statements, instructions, or function calls are executed or evaluated in a script.",Python,Python Course,beginner
sequence,"An ordered collection of items where each item can be accessed by its specific position or index, such as strings and lists.",Python,Python Course,beginner
list,"A built-in, ordered, and mutable collection in Python used to store multiple items in a single variable.",Python,Python Course,beginner
tuple,"A built-in, ordered, but immutable collection in Python, meaning its elements cannot be changed once created.",Python,Python Course,beginner
set,"An unordered collection of unique elements in Python, often used to eliminate duplicates or perform mathematical set operations.",Python,Python Course,beginner
range,"A built-in Python function that generates a sequence of numbers, commonly used to determine how many times a 'for' loop should run.",Python,Python Course,beginner
indexing,"The method of accessing a specific element in a sequence (like a list or string) by referring to its numerical position.",Python,Python Course,beginner
slicing,"A feature that allows you to extract a specific portion or subset of a sequence by specifying a start and end index.",Python,Python Course,beginner
comprehension,"A concise and readable way to create a new list, dictionary, or set by applying an expression to items in an existing iterable.",Python,Python Course,beginner
zip,"A built-in function that combines multiple iterables (like lists) element by element into tuples.",Python,Python Course,beginner
enumerate,"A built-in function that adds a counter to an iterable, returning both the index and the value during a loop.",Python,Python Course,beginner
unpacking,"The process of assigning individual elements of a sequence (like a list or tuple) into distinct variables in a single statement.",Python,Python Course,beginner
membership test,"An operation using the 'in' or 'not in' operators to check if a specific value exists within a sequence or collection.",Python,Python Course,beginner
replace,"A string method used to create a new string by substituting specific characters or substrings with another set of characters.",Python,Python Course,beginner
regular expression,"A specialized syntax used to define search patterns, allowing for advanced text matching and manipulation.",Python,Python Course,beginner
concatenation,"The operation of joining two or more strings end-to-end to form a single continuous string.",Python,Python Course,beginner
split,"A string method that divides a single string into a list of smaller strings based on a specified separator, like a comma or space.",Python,Python Course,beginner
escape characters,"Special characters preceded by a backslash (such as \n for newline) used to represent characters that are difficult to type or have a special meaning in code.",Python,Python Course,beginner
unicode,"An international encoding standard used to represent text across different languages and symbols consistently in computers.",Python,Python Course,beginner
exception,"An error that occurs during the execution of a program, disrupting the normal flow of instructions.",Python,Python Course,beginner
try block,"A block of code to be tested for errors while it is being executed, allowing the program to handle potential crashes gracefully.",Python,Python Course,beginner
except block,"A block of code that executes only if an error occurs in the preceding 'try' block, used to handle the exception safely.",Python,Python Course,beginner
finally block,"A block of code that always executes regardless of whether an exception occurred or not, typically used for cleanup actions.",Python,Python Course,beginner
traceback,"A detailed report provided by Python when an error occurs, showing the sequence of function calls that led to the exception.",Python,Python Course,beginner
open(),"A built-in function used to open a file and return a file object, enabling reading, writing, or appending.",Python,Python Course,beginner
with,"A statement used to wrap the execution of a block of code, ensuring that resources like files are automatically closed when the block finishes.",Python,Python Course,beginner
context manager,"An object that handles the setup and teardown of resources seamlessly, usually implemented using the 'with' statement.",Python,Python Course,beginner
close(),"A method used to officially close an opened file, freeing up system resources and preventing data corruption.",Python,Python Course,beginner
def,"The keyword used in Python to define and start the creation of a new function.",Python,Python Course,beginner
function call,"The action of executing a previously defined function by typing its name followed by parentheses containing any necessary arguments.",Python,Python Course,beginner
argument,"The actual value passed into a function when it is called, providing the data the function needs to perform its task.",Python,Python Course,beginner
return statement,"A keyword used inside a function to send a resulting value back to the place where the function was called.",Python,Python Course,beginner
parameter,"A named variable in a function's definition that acts as a placeholder for the argument values passed during a function call.",Python,Python Course,beginner
default parameter,"A parameter that assumes a predefined value if no argument is provided for it during the function call.",Python,Python Course,beginner
keyword arguments,"Arguments passed to a function by explicitly stating the parameter name, allowing them to be passed in any order.",Python,Python Course,beginner
variable arguments,"A way to allow a function to accept an arbitrary number of arguments using *args for lists or kwargs for dictionaries.",Python,Python Course,beginner
positional arguments,"Arguments that must be passed to a function in the exact order they are listed in the function's definition.",Python,Python Course,beginner
lambda functions,"Small, anonymous, single-line functions defined using the 'lambda' keyword, typically used for short, throwaway operations.",Python,Python Course,beginner
dict(),"A built-in function used to create a dictionary, which is a collection of key-value pairs.",Python,Python Course,beginner
get(),"A dictionary method that retrieves the value for a specific key, safely returning a default value (like None) if the key doesn't exist.",Python,Python Course,beginner
items(),"A dictionary method that returns a view object containing tuples of all the key-value pairs present in the dictionary.",Python,Python Course,beginner
in operator,"A keyword used to check for the presence of a value within a sequence or a key within a dictionary.",Python,Python Course,beginner
del,"A keyword used to delete objects, specific elements from a list, or key-value pairs from a dictionary.",Python,Python Course,beginner
update(),"A dictionary method that merges another dictionary or iterable of key-value pairs into the current dictionary.",Python,Python Course,beginner
class,"A blueprint or template for creating objects, defining the attributes (data) and methods (behaviors) those objects will have.",Python,Python Course,beginner
object,"A specific instance created from a class blueprint, encapsulating both state (data) and behavior (methods).",Python,Python Course,beginner
instance,"A specific realization of any object created from a class, holding its own unique data.",Python,Python Course,beginner
encapsulation,"An object-oriented programming principle of bundling data and methods within a class, and restricting direct external access to some of the object's components.",Python,Python Course,beginner
private,"A convention (often using an underscore prefix) indicating that an attribute or method should only be accessed within its own class.",Python,Python Course,beginner
property,"A special method in Python acting like an attribute, allowing you to use getter and setter logic when accessing or modifying data.",Python,Python Course,beginner
validation,"The process of checking if input data meets certain criteria or constraints before allowing it to be stored or processed.",Python,Python Course,beginner
abstraction,"The principle of hiding complex implementation details and showing only the essential features of an object to the user.",Python,Python Course,beginner
polymorphism,"The ability of different classes to be treated as instances of the same class through a common interface or method name.",Python,Python Course,beginner
method overloading,"The ability to define multiple methods with the same name but different parameters, though Python handles this primarily through default arguments.",Python,Python Course,beginner
inheritance,"A concept where a new class derives properties and behaviors from an existing class, promoting code reuse.",Python,Python Course,beginner
composition,"A design principle where a class is composed of one or more instances of other classes to achieve complex functionality rather than using inheritance.",Python,Python Course,beginner
base class,"Also known as a parent class, this is the original class from which other classes inherit attributes and methods.",Python,Python Course,beginner
superclass,"Another term for a base or parent class that provides inherited functionality to a child class.",Python,Python Course,beginner
parent,"In inheritance, the existing class whose characteristics are inherited by a new child class.",Python,Python Course,beginner
child,"In inheritance, a class that derives its attributes and methods from a parent class.",Python,Python Course,beginner
unit test,"A software testing method where individual components or functions of code are tested in isolation to verify they work correctly.",Python,Python Course,beginner
assertion,"A statement used in testing to declare that a specific condition must be true; if false, it raises an error.",Python,Python Course,beginner
test coverage,"A metric used to measure the percentage of the codebase that is executed and validated by automated tests.",Python,Python Course,beginner
TDD,"Test-Driven Development; a software engineering practice where tests are written before the actual code to guide development and ensure reliability.",Python,Python Course,beginner
few shot learning,"A machine learning technique where a model is given a small number of examples (shots) in its prompt to help it understand the desired task.",LLMOps,LLMOps Course,beginner
token,"The fundamental unit of text (often a word or sub-word) that language models read and generate.",LLMOps,LLMOps Course,beginner
context window,"The maximum amount of text (measured in tokens) an LLM can take in and consider at one time when generating a response.",LLMOps,LLMOps Course,beginner
pydantic,"A Python library for data validation and settings management using standard Python type hints.",LLMOps,LLMOps Course,beginner
BaseModel,"The core class in Pydantic from which you inherit to create robust data models with automatic validation.",LLMOps,LLMOps Course,beginner
Field,"A Pydantic function used to provide extra information, constraints, or default values to a specific model attribute.",LLMOps,LLMOps Course,beginner
model_fields,"An attribute in Pydantic models that contains metadata and configuration details for all the fields defined in the model.",LLMOps,LLMOps Course,beginner
computed_field,"A Pydantic decorator used to define properties that are calculated on the fly rather than stored directly in the data structure.",LLMOps,LLMOps Course,beginner
model_validate,"A Pydantic method used to parse and validate standard Python objects or dictionaries against a defined model schema.",LLMOps,LLMOps Course,beginner
model_dump,"A Pydantic method used to convert a model instance back into a standard Python dictionary.",LLMOps,LLMOps Course,beginner
type hinting,"A Python feature that allows developers to formally specify the expected data types of variables, arguments, and return values.",LLMOps,LLMOps Course,beginner
serialization,"The process of converting complex data structures or objects into a format (like JSON) that can be easily stored or transmitted.",LLMOps,LLMOps Course,beginner
deserialization,"The process of converting a stored or transmitted format (like JSON) back into complex data structures or objects.",LLMOps,LLMOps Course,beginner
prompt engineering,"The practice of designing, refining, and optimizing the text inputs (prompts) given to an AI model to achieve the best possible outputs.",LLMOps,LLMOps Course,beginner
zero-shot learning,"A scenario where a model is asked to perform a task or understand a concept without being provided any prior examples in the prompt.",LLMOps,LLMOps Course,beginner
OpenRouter,"A routing service and API that provides standardized access to various Large Language Models from different providers.",LLMOps,LLMOps Course,beginner
Agent,"An autonomous AI system powered by an LLM that can use tools, make decisions, and interact with its environment to achieve a goal.",LLMOps,LLMOps Course,beginner
system prompt,"The initial set of instructions given to an LLM that defines its role, constraints, behavior, and overarching goals.",LLMOps,LLMOps Course,beginner
agent.run,"The command or method used to start the execution of an AI agent, giving it a prompt to process and act upon.",LLMOps,LLMOps Course,beginner
tools,"External functions or APIs that an AI agent can call upon to perform actions or fetch real-time data it normally wouldn't have access to.",LLMOps,LLMOps Course,beginner
dependencies,"External libraries, frameworks, or data sources that an application or agent requires to function properly.",LLMOps,LLMOps Course,beginner
output_type,"A specification defining the exact format and structure (often using Pydantic) that an AI model or function is expected to return.",LLMOps,LLMOps Course,beginner
dependency injection,"A design pattern where an object receives its required dependencies from an external source rather than creating them itself.",LLMOps,LLMOps Course,beginner
request body,"The part of an HTTP request that contains the data payload being sent to an API endpoint for processing.",LLMOps,LLMOps Course,beginner
response model,"A schema (like a Pydantic model) that defines and validates the structure of the data sent back from an API to the user.",LLMOps,LLMOps Course,beginner
pydantic model,"A Python class inheriting from BaseModel that strictly enforces data types and validation rules on incoming data.",LLMOps,LLMOps Course,beginner
model,"A general term representing a mathematical or computational representation of a system, such as a Large Language Model.",LLMOps,LLMOps Course,beginner
run,"The action of executing a script, pipeline, or AI agent workflow.",LLMOps,LLMOps Course,beginner
retry loop,"A programmatic structure that automatically attempts an operation again if it fails, ensuring resilience against temporary errors.",LLMOps,LLMOps Course,beginner
tool call,"The specific event where an AI model pauses its generation to request data from or execute an external function.",LLMOps,LLMOps Course,beginner
messages,"The individual pieces of conversation (user prompts, system instructions, AI responses) that make up a chat history with an LLM.",LLMOps,LLMOps Course,beginner
offline evaluation,"The process of testing and assessing an AI model's performance on static, historical datasets before deploying it to users.",LLMOps,LLMOps Course,beginner
online evaluation,"The continuous monitoring and assessment of an AI model's performance in real-time as it interacts with actual users in production.",LLMOps,LLMOps Course,beginner
LLM judge,"A technique where an advanced LLM is used to evaluate and grade the outputs generated by another LLM.",LLMOps,LLMOps Course,beginner
human in the loop,"A system design where a human reviews, approves, or modifies an AI's decisions before they are finalized or sent to the end user.",LLMOps,LLMOps Course,beginner
toxicity detection,"The process of using automated systems to identify offensive, harmful, or inappropriate content in text.",LLMOps,LLMOps Course,beginner
hallucination detection,"The process of identifying when an AI model generates information that is factually incorrect, nonsensical, or unsupported by its context.",LLMOps,LLMOps Course,beginner
CRUD,"An acronym for Create, Read, Update, and Delete, which represent the four basic operations performed on database data.",SQL,SQL Course,beginner
query,"A request for information or data retrieval from a database using a specific language like SQL.",SQL,SQL Course,beginner
statement,"A complete line of code or instruction sent to a database system to perform a specific action.",SQL,SQL Course,beginner
DDL,"Data Definition Language; SQL commands (like CREATE, DROP, ALTER) used to define or modify the structure of database objects.",SQL,SQL Course,beginner
DML,"Data Manipulation Language; SQL commands (like INSERT, UPDATE, DELETE) used to manage and modify the actual data within tables.",SQL,SQL Course,beginner
idempotent,"An operation that produces the same result no matter how many times it is executed, ensuring safe retries.",SQL,SQL Course,beginner
table,"A collection of related data held in a structured format within a database, consisting of columns and rows.",SQL,SQL Course,beginner
schema,"The blueprint or structural organization of a database, defining its tables, columns, and relationships.",SQL,SQL Course,beginner
row,"A single, horizontal record representing one complete data entry in a database table.",SQL,SQL Course,beginner
record,"Another term for a row in a database table, representing a single complete entity or transaction.",SQL,SQL Course,beginner
column,"A vertical division in a database table that represents a specific attribute or field applied to all rows.",SQL,SQL Course,beginner
database,"An organized collection of structured information or data, typically stored electronically in a computer system.",SQL,SQL Course,beginner
persistance,"The characteristic of data outliving the process that created it, meaning it is saved permanently on disk.",SQL,SQL Course,beginner
DQL,"Data Query Language; SQL commands (specifically SELECT) used strictly to retrieve and read data from a database.",SQL,SQL Course,beginner
relational database,"A type of database that stores data in structured tables that are logically linked together through shared keys.",SQL,SQL Course,beginner
dot commands,"Special commands in CLI tools like SQLite (e.g., .tables, .schema) used to interact with the database environment rather than querying data.",SQL,SQL Course,beginner
CLI,"Command Line Interface; a text-based user interface used to interact with software, operating systems, or databases.",SQL,SQL Course,beginner
bash,"A popular command-line interpreter or shell used in Unix and Linux systems to execute commands and scripts.",SQL,SQL Course,beginner
type inference,"A feature where a database or programming language automatically deduces the data type of an expression without explicit declaration.",SQL,SQL Course,beginner
clause,"A distinct component or portion of an SQL statement, such as WHERE, FROM, or ORDER BY, that dictates a specific action.",SQL,SQL Course,beginner
aliasing,"The practice of temporarily renaming a table or column in an SQL query using the AS keyword to make the results more readable.",SQL,SQL Course,beginner
SQL statement,"A complete command written in Structured Query Language used to interact with and manipulate a relational database.",SQL,SQL Course,beginner
persistent database,"A database system that permanently saves data to physical storage disks, ensuring it remains available after a system reboot.",SQL,SQL Course,beginner
.wal,"Write-Ahead Log; a database technique where changes are recorded in a log before being applied to the main database file to ensure data integrity.",SQL,SQL Course,beginner
IDE,"Integrated Development Environment; a software application that provides comprehensive facilities for programmers, often including a code editor and database viewer.",SQL,SQL Course,beginner
csv,"Comma-Separated Values; a simple, widely used plain text format for storing tabular data, where each line is a row and values are separated by commas.",SQL,SQL Course,beginner
namespace,"A logical container that holds a set of identifiers or names, ensuring that objects (like tables) have unique names to avoid conflicts.",SQL,SQL Course,beginner
projection,"The process of selecting specific columns to retrieve from a table, effectively narrowing the data vertically.",SQL,SQL Course,beginner
selection,"The process of filtering data to retrieve only specific rows that meet certain conditions, effectively narrowing the data horizontally.",SQL,SQL Course,beginner
SELECT clause,"The fundamental SQL clause used to specify exactly which columns of data you want to retrieve from a database.",SQL,SQL Course,beginner
WHERE clause,"The SQL clause used to filter rows, returning only the records that satisfy a specified condition.",SQL,SQL Course,beginner
condition,"A logical statement, usually found in a WHERE clause, that evaluates to true, false, or unknown, used to filter data.",SQL,SQL Course,beginner
BETWEEN,"An SQL operator used to filter values within a specific range, inclusive of the starting and ending values.",SQL,SQL Course,beginner
aggregate functions,"Functions like SUM, AVG, COUNT, MAX, and MIN that perform calculations on multiple rows to return a single summarized value.",SQL,SQL Course,beginner
range filtering,"The technique of querying data that falls between two numerical, alphabetical, or temporal boundaries.",SQL,SQL Course,beginner
pattern matching,"A way to search for specific text patterns within strings, typically using the LIKE operator and wildcard characters.",SQL,SQL Course,beginner
list filtering,"A technique used to find rows where a specific column's value matches any item in a predefined list, usually utilizing the IN operator.",SQL,SQL Course,beginner
temporal,"Pertaining to time; temporal data involves dates, times, and timestamps representing when events occurred.",SQL,SQL Course,beginner
interval,"A data type or concept that represents a specific span or duration of time, like '3 days' or '2 months'.",SQL,SQL Course,beginner
synthetic,"Data that is artificially generated rather than created by real-world events, often used for testing and development.",SQL,SQL Course,beginner
VALUES,"An SQL keyword used primarily in an INSERT statement to specify the exact data to be added to a row.",SQL,SQL Course,beginner
subquery,"A nested SQL query placed inside another, larger SQL statement to provide intermediary results for the outer query.",SQL,SQL Course,beginner
compound query,"A query that combines the results of two or more independent SELECT statements into a single dataset using set operators.",SQL,SQL Course,beginner
set operations,"SQL operations like UNION, INTERSECT, and EXCEPT that combine and compare the result sets of two or more queries.",SQL,SQL Course,beginner
EXCEPT,"A set operator that returns all unique rows from the first query that are not present in the results of the second query.",SQL,SQL Course,beginner
result set,"The tabular data produced and returned by the execution of a SELECT statement.",SQL,SQL Course,beginner
UNION,"A set operator that combines the results of two or more SELECT statements into a single result set, automatically removing duplicates.",SQL,SQL Course,beginner
UNION ALL,"A set operator that combines the results of two SELECT statements into a single result set, keeping all duplicate rows intact.",SQL,SQL Course,beginner
operator,"A reserved word or character (like =, <, AND, OR) used in a SQL WHERE clause to perform comparisons or logical operations.",SQL,SQL Course,beginner
INTERSECT,"A set operator that returns only the distinct rows that appear in the results of both the first and second queries.",SQL,SQL Course,beginner
venn diagram,"A visual representation using overlapping circles to illustrate logical relationships between different sets, often used to explain SQL Joins.",SQL,SQL Course,beginner
LEFT JOIN,"An SQL join that returns all records from the left table, and only the matched records from the right table.",SQL,SQL Course,beginner
INNER JOIN,"An SQL join that returns only the rows that have matching values in both tables being joined.",SQL,SQL Course,beginner
RIGHT JOIN,"An SQL join that returns all records from the right table, and only the matched records from the left table.",SQL,SQL Course,beginner
LIKE,"An SQL operator used in a WHERE clause to search for a specified text pattern within a column, usually case-sensitive.",SQL,SQL Course,beginner
ILIKE,"An SQL operator specific to PostgreSQL that performs a case-insensitive search for a specified text pattern.",SQL,SQL Course,beginner
regexp,"Regular Expressions; advanced pattern matching syntax used to find complex text patterns inside database strings.",SQL,SQL Course,beginner
assign,"The action of storing a value into a variable using an assignment operator.",Data Platform Development,Data Platform Development Course,beginner
logical error,"A bug in a program where the code runs without crashing but produces an incorrect or unintended result.",Data Platform Development,Data Platform Development Course,beginner
handling error,"The process of safely catching and responding to exceptions or errors in code to prevent the application from crashing.",Data Platform Development,Data Platform Development Course,beginner
indexing,"The method of accessing a specific item in a data structure using its numerical position.",Data Platform Development,Data Platform Development Course,beginner
slicing,"The method of extracting a continuous subset of elements from a data structure by specifying a start and end point.",Data Platform Development,Data Platform Development Course,beginner
iterable,"Any Python object capable of returning its elements one at a time, allowing it to be looped over in a 'for' loop.",Data Platform Development,Data Platform Development Course,beginner
iterate over,"The action of going through each item in a collection or iterable object one by one.",Data Platform Development,Data Platform Development Course,beginner
list comprehension,"A concise, elegant way to create lists in Python by embedding a 'for' loop inside square brackets.",Data Platform Development,Data Platform Development Course,beginner
collections,"Specialized container data types in Python designed to store multiple items, such as lists, dictionaries, and sets.",Data Platform Development,Data Platform Development Course,beginner
tuples,"An immutable, ordered collection of elements in Python, often used to group related but heterogeneous data.",Data Platform Development,Data Platform Development Course,beginner
**repr**,"A special Python method that defines how an object is officially represented as a string, aiding in debugging and logging.",Data Platform Development,Data Platform Development Course,beginner
dunder methods,"Double underscore methods in Python (like **init**) that allow developers to define how custom objects behave with built-in operations.",Data Platform Development,Data Platform Development Course,beginner
pythonic,"A style of writing code that follows the standard conventions, best practices, and elegant idioms unique to Python.",Data Platform Development,Data Platform Development Course,beginner
idiomatic,"Writing code in a way that is natural and standard for a specific programming language, making it highly readable to other developers.",Data Platform Development,Data Platform Development Course,beginner
DRY,"Don't Repeat Yourself; a software principle aimed at reducing repetition by replacing redundant code with functions and abstractions.",Data Platform Development,Data Platform Development Course,beginner
spaghetti code,"A derogatory term for unstructured, tangled, and difficult-to-maintain source code lacking a clear architecture.",Data Platform Development,Data Platform Development Course,beginner
keyword arguments,"Arguments passed to a function using their parameter names, making code more readable and order-independent.",Data Platform Development,Data Platform Development Course,beginner
positional arguments,"Arguments that must be passed into a function in the exact chronological order defined by the function signature.",Data Platform Development,Data Platform Development Course,beginner
*args,"A syntax used in Python functions to accept a variable number of positional arguments as a tuple.",Data Platform Development,Data Platform Development Course,beginner
kwargs,"A syntax used in Python functions to accept a variable number of keyword arguments as a dictionary.",Data Platform Development,Data Platform Development Course,beginner
unpacking list,"The process of assigning the elements of a list directly into separate, individual variables in one line of code.",Data Platform Development,Data Platform Development Course,beginner
return statement,"The instruction that specifies what value a function should output and send back to the caller.",Data Platform Development,Data Platform Development Course,beginner
ternary operator,"A one-line shorthand for an 'if-else' statement, evaluating a condition and returning one of two values immediately.",Data Platform Development,Data Platform Development Course,beginner
json,"JavaScript Object Notation; a lightweight, text-based data interchange format widely used for storing and sending data over APIs.",Data Platform Development,Data Platform Development Course,beginner
dataframe,"A two-dimensional, mutable tabular data structure with labeled axes (rows and columns), central to the pandas library.",Data Platform Development,Data Platform Development Course,beginner
series,"A one-dimensional labeled array in pandas, essentially representing a single column of data.",Data Platform Development,Data Platform Development Course,beginner
pandas concat,"A pandas function used to stitch or append DataFrames together along a particular axis (rows or columns).",Data Platform Development,Data Platform Development Course,beginner
pandas apply,"A pandas method that applies a function along an axis of the DataFrame or on a Series, useful for custom transformations.",Data Platform Development,Data Platform Development Course,beginner
csv,"A plain text file format that stores tabular data, where rows are represented by lines and columns are separated by commas.",Data Platform Development,Data Platform Development Course,beginner
pandas isnull,"A pandas method that detects missing values in a DataFrame, returning a boolean mask showing True for null elements.",Data Platform Development,Data Platform Development Course,beginner
masking in pandas,"The technique of using a boolean array (a 'mask') to filter and select specific rows in a DataFrame based on a condition.",Data Platform Development,Data Platform Development Course,beginner
pandas transpose,"An operation that rotates a DataFrame, swapping its rows with its columns.",Data Platform Development,Data Platform Development Course,beginner
pandas value_counts(),"A pandas method that returns a Series containing the counts of unique values, useful for summarizing categorical data.",Data Platform Development,Data Platform Development Course,beginner
tabular data,"Data that is structured into a rectangular grid of rows and columns, similar to a spreadsheet.",Data Platform Development,Data Platform Development Course,beginner
zero-based indexing,"A standard in many programming languages, including Python, where the first element in a sequence is assigned the index 0 instead of 1.",Data Platform Development,Data Platform Development Course,beginner
host system,"The physical computer or virtual machine that runs the overarching operating system hosting Docker containers.",Data Platform Development,Data Platform Development Course,beginner
virtualization,"The creation of a virtual version of a computing resource, such as hardware platforms, storage devices, or network resources.",Data Platform Development,Data Platform Development Course,beginner
spin up,"A colloquial term meaning to start, launch, or boot a server, virtual machine, or container.",Data Platform Development,Data Platform Development Course,beginner
dockerize,"The process of packaging an application and its necessary dependencies into a standardized Docker container.",Data Platform Development,Data Platform Development Course,beginner
docker build,"A command that reads a Dockerfile and creates a new Docker image from its instructions.",Data Platform Development,Data Platform Development Course,beginner
docker run,"A command used to create and start a new container from a specified Docker image.",Data Platform Development,Data Platform Development Course,beginner
docker layers,"The read-only segments that make up a Docker image, stacked on top of each other to maximize caching and efficiency.",Data Platform Development,Data Platform Development Course,beginner
container,"A lightweight, standalone, and executable software package that includes everything needed to run an application seamlessly across environments.",Data Platform Development,Data Platform Development Course,beginner
image,"A static, immutable template or snapshot containing the application code, libraries, and dependencies required to create a Docker container.",Data Platform Development,Data Platform Development Course,beginner
docker compose up -d,"A command that starts the services defined in a docker-compose.yml file and runs them in the background (detached mode).",Data Platform Development,Data Platform Development Course,beginner
docker compose up --build,"A command that forces Docker Compose to rebuild the images before starting the containers, ensuring the latest code changes are applied.",Data Platform Development,Data Platform Development Course,beginner
docker compose down,"A command that stops and removes all containers, networks, and resources created by 'docker compose up'.",Data Platform Development,Data Platform Development Course,beginner
docker exec -it /bin/bash,"A command used to open an interactive bash terminal inside a currently running Docker container for troubleshooting.",Data Platform Development,Data Platform Development Course,beginner
docker inspect,"A command that returns deep, low-level configuration and state information about Docker objects like containers or images.",Data Platform Development,Data Platform Development Course,beginner
docker ps,"A command that lists all actively running Docker containers on the host system.",Data Platform Development,Data Platform Development Course,beginner
docker volume ls,"A command that lists all the persistent storage volumes managed by Docker.",Data Platform Development,Data Platform Development Course,beginner
docker container ls -a,"A command that lists all Docker containers on the system, including those that are stopped or exited.",Data Platform Development,Data Platform Development Course,beginner
docker image ls -a,"A command that lists all Docker images stored locally on the host system.",Data Platform Development,Data Platform Development Course,beginner
docker image prune,"A command used to clean up and remove dangling or unused Docker images to free up disk space.",Data Platform Development,Data Platform Development Course,beginner
docker container prune,"A command used to remove all stopped containers from the host system to clear clutter.",Data Platform Development,Data Platform Development Course,beginner
tag,"A human-readable label applied to a Docker image to indicate a specific version or variant, such as 'latest' or 'v1.0'.",Data Platform Development,Data Platform Development Course,beginner
docker rm,"A command used to delete one or more stopped Docker containers.",Data Platform Development,Data Platform Development Course,beginner
kafka,"A distributed event streaming platform used to handle high-throughput, real-time data feeds and messaging.",Data Platform Development,Data Platform Development Course,beginner
event,"A record or message indicating that a specific occurrence or state change has happened in the system.",Data Platform Development,Data Platform Development Course,beginner
message,"The fundamental unit of data sent through Kafka, consisting of a key, a value, and a timestamp.",Data Platform Development,Data Platform Development Course,beginner
producer,"An application or service that actively sends, or publishes, messages to a Kafka topic.",Data Platform Development,Data Platform Development Course,beginner
consumer,"An application or service that reads, or subscribes to, messages from a Kafka topic.",Data Platform Development,Data Platform Development Course,beginner
topic,"A named category or feed in Kafka where producers send messages and consumers read them.",Data Platform Development,Data Platform Development Course,beginner
